sku_id,item_first_cate_cd,item_second_cate_cd,item_third_cate_cd
9df51a9a8b442bacd10072a9f1045315,1315,1342,9736
95d7b59fed14fdf88f71ccc4e087a364,1315,1342,9736
da169564f1a7361c031b57af6b94d323,1315,1342,9736
13ef114542a319c348d5c19c3abcbdf0,1315,1342,9736
222268093421c0cd5313e04634c86c12,1315,1342,9736
f0cda2dee693a366e9236064dad22e21,1315,1342,9736
a77d8df72d44c01639c9ce94e0cf35ad,1315,1342,9736
1570c7b77deb22c26a07f4c7f2894c41,1315,1342,9736
64cd57f930367a34c73496c091683e48,1315,1342,9736
68a51c86f4a5c30ac0365974ee94cdd0,1315,1342,9736
d72e4e0e3f10167aab2dc605b19aaa8e,1315,1342,9736
2ae57c42722290f1043bd3fd37240eab,1319,6313,6316
0a44e91c88b15c7f7cfa70f1b5ed435e,1713,3263,3394
9dedd7bedb018d16edfbf7f9750ef886,1713,3263,3394
4aad6fd2716a0818df1e111ddac0b15b,1315,1343,1356
dd527efdbf520cbcf3260bf0209d0664,1315,1343,1356
d5958281985a59156cb6288a423921b5,1315,1343,1356
96dbdd671bfbf26a785f252a0271bc4e,1315,1343,1356
f79897d673e165447454563aae5eef4d,1315,1343,1356
fb0bcf6bf174f3c090f876a31b944dbe,1315,1343,1356
79751aef21d3605c5c26e06d23c49a60,1315,1343,1356
e654e5de3915a54f9e4033f0a26fb448,1315,1343,1356
2b8a7cc085594eaaa0651094c592bafd,1315,1343,1356
1ee7e7bfcddc2d6bf520a57c29b397e5,1315,1343,1356
776274c6cf65648b6a7a39d95d4abe13,1315,1343,1356
0e1d1d763ced24aa07bf41cb002a9bd2,1315,1343,1356
b47d8d91fba2fd563c26ef28db2e95ce,1315,1343,1356
60a5b27863af6865e9c8b8e375a30de0,1315,1343,1356
555dd8f9036e0d9343b512beea9fee8c,1315,1343,1356
eb487ca76442f0f39a1e3a55cf02533d,1315,1343,1356
3f718fc508cdb26d091922b18690b76b,1315,1343,1356
302f466f0c4fc3e2c27f7d2ad1fc618a,1315,1343,1356
fd418be3116cdedf4026eba1dc98cadd,1315,1343,1356
de72d187c47c38e6297488cbb0b4560f,1315,1343,1356
571b0b49cae330dfe6fb9b28f5b7d7da,1315,1343,1356
da6fd434edd8845206fb39ed496f5ae1,1315,1343,1356
f6f9f62b553fb7af2ad2a616b0da5e4c,1315,1343,1356
489e89da177cf8f1656b6b5f5e734503,1315,1343,1356
56351211289bf79c29ef632e14b60752,1315,1343,1356
efc7d85120f06b8df2dc69a0d99621d3,1315,1343,1356
f5837792d688cd23650da6e6cc80615a,1315,1343,1356
